用户编号：08
当前时间：2011-09-16T17:05:19:707
任务号:3,任务：任务3
小组号:3,小组:第3组
视频名称:麋鹿王
问题类型:Comprehension
*************************Tapestry***********************
ComprehensionStart:2011-09-16T17:05:25:599
ComprehensionDown:2011-09-16T17:10:46:457
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：0,你选择的答案是：0
第3题的答案是：0,你选择的答案是：0
你的正确比例是4/4
MOVE: (6,428) 2011-09-16T17:05:27:20
MOVE: (18,430) 2011-09-16T17:05:27:23
MOVE: (31,432) 2011-09-16T17:05:27:33
MOVE: (42,433) 2011-09-16T17:05:27:39
MOVE: (53,434) 2011-09-16T17:05:27:47
MOVE: (64,434) 2011-09-16T17:05:27:55
MOVE: (72,434) 2011-09-16T17:05:27:63
MOVE: (77,434) 2011-09-16T17:05:27:71
MOVE: (83,434) 2011-09-16T17:05:27:79
MOVE: (86,434) 2011-09-16T17:05:27:87
MOVE: (87,433) 2011-09-16T17:05:27:95
MOVE: (88,432) 2011-09-16T17:05:27:103
MOVE: (89,432) 2011-09-16T17:05:27:119
MOVE: (89,431) 2011-09-16T17:05:27:719
MOVE: (89,428) 2011-09-16T17:05:27:727
MOVE: (89,427) 2011-09-16T17:05:27:743
MOVE: (89,425) 2011-09-16T17:05:27:752
MOVE: (89,424) 2011-09-16T17:05:27:759
MOVE: (89,423) 2011-09-16T17:05:27:767
MOVE: (89,421) 2011-09-16T17:05:27:775
MOVE: (89,420) 2011-09-16T17:05:27:783
MOVE: (89,419) 2011-09-16T17:05:27:799
MOVE: (89,418) 2011-09-16T17:05:27:807
MOVE: (89,417) 2011-09-16T17:05:27:815
MOVE: (89,415) 2011-09-16T17:05:27:831
MOVE: (89,413) 2011-09-16T17:05:27:839
MOVE: (89,412) 2011-09-16T17:05:27:846
MOVE: (89,410) 2011-09-16T17:05:27:855
MOVE: (89,408) 2011-09-16T17:05:27:863
MOVE: (89,406) 2011-09-16T17:05:27:871
MOVE: (89,404) 2011-09-16T17:05:27:879
MOVE: (89,402) 2011-09-16T17:05:27:887
MOVE: (89,400) 2011-09-16T17:05:27:895
MOVE: (89,399) 2011-09-16T17:05:27:903
MOVE: (89,397) 2011-09-16T17:05:27:911
MOVE: (89,396) 2011-09-16T17:05:27:919
MOVE: (88,395) 2011-09-16T17:05:27:927
MOVE: (88,394) 2011-09-16T17:05:27:936
MOVE: (88,393) 2011-09-16T17:05:27:943
MOVE: (86,391) 2011-09-16T17:05:28:31
MOVE: (84,389) 2011-09-16T17:05:28:39
MOVE: (82,389) 2011-09-16T17:05:28:47
MOVE: (79,387) 2011-09-16T17:05:28:55
MOVE: (77,385) 2011-09-16T17:05:28:63
MOVE: (76,382) 2011-09-16T17:05:28:71
MOVE: (72,382) 2011-09-16T17:05:28:79
MOVE: (68,381) 2011-09-16T17:05:28:87
MOVE: (66,381) 2011-09-16T17:05:28:95
MOVE: (65,381) 2011-09-16T17:05:28:103
MOVE: (62,381) 2011-09-16T17:05:28:111
MOVE: (59,381) 2011-09-16T17:05:28:119
MOVE: (58,381) 2011-09-16T17:05:28:127
MOVE: (56,382) 2011-09-16T17:05:28:135
MOVE: (52,383) 2011-09-16T17:05:28:143
MOVE: (50,383) 2011-09-16T17:05:28:151
MOVE: (49,385) 2011-09-16T17:05:28:158
MOVE: (47,386) 2011-09-16T17:05:28:167
MOVE: (46,387) 2011-09-16T17:05:28:175
MOVE: (45,387) 2011-09-16T17:05:28:183
MOVE: (45,388) 2011-09-16T17:05:28:191
MOVE: (44,388) 2011-09-16T17:05:28:199
MOVE: (43,388) 2011-09-16T17:05:28:408
MOVE: (41,388) 2011-09-16T17:05:28:431
MOVE: (41,389) 2011-09-16T17:05:28:438
MOVE: (40,389) 2011-09-16T17:05:28:447
MOVE: (39,389) 2011-09-16T17:05:28:463
MOVE: (39,390) 2011-09-16T17:05:28:479
MOVE: (41,393) 2011-09-16T17:05:29:223
MOVE: (45,399) 2011-09-16T17:05:29:230
MOVE: (50,407) 2011-09-16T17:05:29:239
MOVE: (53,414) 2011-09-16T17:05:29:248
MOVE: (55,423) 2011-09-16T17:05:29:255
MOVE: (55,428) 2011-09-16T17:05:29:262
MOVE: (55,432) 2011-09-16T17:05:29:271
MOVE: (55,434) 2011-09-16T17:05:29:279
MOVE: (55,436) 2011-09-16T17:05:29:287
MOVE: (55,439) 2011-09-16T17:05:29:303
MOVE: (56,439) 2011-09-16T17:05:29:311
MOVE: (57,439) 2011-09-16T17:05:29:479
MOVE: (63,439) 2011-09-16T17:05:29:495
MOVE: (79,443) 2011-09-16T17:05:29:502
MOVE: (94,447) 2011-09-16T17:05:29:511
MOVE: (112,454) 2011-09-16T17:05:29:519
MOVE: (146,467) 2011-09-16T17:05:29:527
MOVE: (186,484) 2011-09-16T17:05:29:535
MOVE: (237,506) 2011-09-16T17:05:29:543
MOVE: (279,522) 2011-09-16T17:05:29:551
MOVE: (324,537) 2011-09-16T17:05:29:558
MOVE: (364,559) 2011-09-16T17:05:29:567
MOVE: (403,582) 2011-09-16T17:05:29:574
MOVE: (436,604) 2011-09-16T17:05:29:583
MOVE: (464,625) 2011-09-16T17:05:29:590
MOVE: (491,648) 2011-09-16T17:05:29:599
MOVE: (511,674) 2011-09-16T17:05:29:610
MOVE: (530,699) 2011-09-16T17:05:29:615
MOVE: (547,724) 2011-09-16T17:05:29:624
MOVE: (578,771) 2011-09-16T17:05:29:644
MOVE: (593,798) 2011-09-16T17:05:29:646
MOVE: (605,818) 2011-09-16T17:05:29:655
MOVE: (614,834) 2011-09-16T17:05:29:662
MOVE: (623,848) 2011-09-16T17:05:29:671
MOVE: (630,859) 2011-09-16T17:05:29:678
MOVE: (636,868) 2011-09-16T17:05:29:686
MOVE: (645,875) 2011-09-16T17:05:29:694
MOVE: (653,882) 2011-09-16T17:05:29:702
MOVE: (665,889) 2011-09-16T17:05:29:710
MOVE: (676,897) 2011-09-16T17:05:29:718
MOVE: (689,904) 2011-09-16T17:05:29:727
MOVE: (702,912) 2011-09-16T17:05:29:734
MOVE: (721,922) 2011-09-16T17:05:29:742
MOVE: (732,929) 2011-09-16T17:05:29:750
MOVE: (748,938) 2011-09-16T17:05:29:758
MOVE: (759,943) 2011-09-16T17:05:29:766
MOVE: (769,949) 2011-09-16T17:05:29:774
MOVE: (780,953) 2011-09-16T17:05:29:782
MOVE: (635,954) 2011-09-16T17:05:30:343
MOVE: (636,912) 2011-09-16T17:05:30:351
MOVE: (636,865) 2011-09-16T17:05:30:358
