用户编号：08
当前时间：2011-09-16T17:12:16:974
任务号:1,任务：任务1
小组号:2,小组:第2组
视频名称:大雄兔
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T17:12:22:140
ComprehensionDown:2011-09-16T17:13:26:543
第0题的答案是：0,你选择的答案是：0
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (3,309) 2011-09-16T17:12:26:584
MOVE: (7,307) 2011-09-16T17:12:26:596
MOVE: (11,305) 2011-09-16T17:12:26:596
MOVE: (14,303) 2011-09-16T17:12:26:603
MOVE: (18,301) 2011-09-16T17:12:26:611
MOVE: (20,300) 2011-09-16T17:12:26:619
MOVE: (23,297) 2011-09-16T17:12:26:627
MOVE: (26,296) 2011-09-16T17:12:26:635
MOVE: (28,295) 2011-09-16T17:12:26:643
MOVE: (29,293) 2011-09-16T17:12:26:651
MOVE: (31,292) 2011-09-16T17:12:26:659
MOVE: (32,291) 2011-09-16T17:12:26:667
MOVE: (34,289) 2011-09-16T17:12:26:675
MOVE: (35,288) 2011-09-16T17:12:26:683
MOVE: (37,285) 2011-09-16T17:12:26:691
MOVE: (38,284) 2011-09-16T17:12:26:699
MOVE: (39,282) 2011-09-16T17:12:26:707
MOVE: (41,280) 2011-09-16T17:12:26:715
MOVE: (42,279) 2011-09-16T17:12:26:723
MOVE: (43,276) 2011-09-16T17:12:26:731
MOVE: (43,275) 2011-09-16T17:12:26:739
MOVE: (44,275) 2011-09-16T17:12:26:747
MOVE: (44,273) 2011-09-16T17:12:26:755
MOVE: (45,272) 2011-09-16T17:12:26:763
MOVE: (45,271) 2011-09-16T17:12:26:771
MOVE: (46,271) 2011-09-16T17:12:26:779
MOVE: (46,269) 2011-09-16T17:12:26:787
MOVE: (47,267) 2011-09-16T17:12:26:803
MOVE: (47,266) 2011-09-16T17:12:26:819
MOVE: (48,264) 2011-09-16T17:12:26:827
MOVE: (49,262) 2011-09-16T17:12:26:844
MOVE: (49,261) 2011-09-16T17:12:26:858
MOVE: (49,260) 2011-09-16T17:12:26:860
MOVE: (50,257) 2011-09-16T17:12:26:867
MOVE: (51,256) 2011-09-16T17:12:26:876
MOVE: (51,255) 2011-09-16T17:12:26:883
MOVE: (51,254) 2011-09-16T17:12:26:891
MOVE: (52,254) 2011-09-16T17:12:26:899
MOVE: (52,252) 2011-09-16T17:12:26:911
MOVE: (54,249) 2011-09-16T17:12:26:915
MOVE: (55,246) 2011-09-16T17:12:26:923
MOVE: (56,243) 2011-09-16T17:12:26:931
MOVE: (57,241) 2011-09-16T17:12:26:940
MOVE: (58,238) 2011-09-16T17:12:26:947
MOVE: (61,233) 2011-09-16T17:12:26:955
MOVE: (63,229) 2011-09-16T17:12:26:963
MOVE: (65,225) 2011-09-16T17:12:26:971
MOVE: (67,222) 2011-09-16T17:12:26:979
MOVE: (68,217) 2011-09-16T17:12:26:987
MOVE: (70,213) 2011-09-16T17:12:26:995
MOVE: (72,209) 2011-09-16T17:12:27:3
MOVE: (75,206) 2011-09-16T17:12:27:11
MOVE: (75,202) 2011-09-16T17:12:27:19
MOVE: (77,199) 2011-09-16T17:12:27:27
MOVE: (79,196) 2011-09-16T17:12:27:35
MOVE: (80,193) 2011-09-16T17:12:27:43
MOVE: (81,191) 2011-09-16T17:12:27:51
MOVE: (82,188) 2011-09-16T17:12:27:59
MOVE: (82,187) 2011-09-16T17:12:27:67
MOVE: (83,184) 2011-09-16T17:12:27:75
MOVE: (83,183) 2011-09-16T17:12:27:83
MOVE: (84,181) 2011-09-16T17:12:27:91
MOVE: (84,179) 2011-09-16T17:12:27:99
MOVE: (85,178) 2011-09-16T17:12:27:107
MOVE: (86,176) 2011-09-16T17:12:27:115
MOVE: (86,174) 2011-09-16T17:12:27:123
MOVE: (86,171) 2011-09-16T17:12:27:131
MOVE: (86,167) 2011-09-16T17:12:27:139
MOVE: (86,164) 2011-09-16T17:12:27:147
MOVE: (87,160) 2011-09-16T17:12:27:155
MOVE: (87,157) 2011-09-16T17:12:27:163
MOVE: (88,152) 2011-09-16T17:12:27:172
MOVE: (89,147) 2011-09-16T17:12:27:179
MOVE: (89,143) 2011-09-16T17:12:27:187
MOVE: (90,139) 2011-09-16T17:12:27:195
MOVE: (90,136) 2011-09-16T17:12:27:203
MOVE: (90,132) 2011-09-16T17:12:27:211
MOVE: (90,127) 2011-09-16T17:12:27:220
MOVE: (90,122) 2011-09-16T17:12:27:227
MOVE: (90,118) 2011-09-16T17:12:27:235
MOVE: (90,113) 2011-09-16T17:12:27:243
MOVE: (90,111) 2011-09-16T17:12:27:251
MOVE: (90,107) 2011-09-16T17:12:27:259
MOVE: (90,106) 2011-09-16T17:12:27:267
MOVE: (88,102) 2011-09-16T17:12:27:275
MOVE: (87,101) 2011-09-16T17:12:27:291
MOVE: (85,100) 2011-09-16T17:12:27:307
MOVE: (83,99) 2011-09-16T17:12:27:315
MOVE: (80,98) 2011-09-16T17:12:27:323
MOVE: (75,96) 2011-09-16T17:12:27:331
MOVE: (69,94) 2011-09-16T17:12:27:339
MOVE: (63,92) 2011-09-16T17:12:27:347
MOVE: (58,90) 2011-09-16T17:12:27:355
MOVE: (53,87) 2011-09-16T17:12:27:363
MOVE: (47,86) 2011-09-16T17:12:27:371
MOVE: (42,84) 2011-09-16T17:12:27:379
MOVE: (40,83) 2011-09-16T17:12:27:387
MOVE: (37,82) 2011-09-16T17:12:27:395
MOVE: (35,80) 2011-09-16T17:12:27:403
MOVE: (34,80) 2011-09-16T17:12:27:411
MOVE: (33,80) 2011-09-16T17:12:27:419
MOVE: (34,80) 2011-09-16T17:12:27:563
MOVE: (36,80) 2011-09-16T17:12:27:571
MOVE: (39,82) 2011-09-16T17:12:27:579
MOVE: (43,84) 2011-09-16T17:12:27:587
MOVE: (46,87) 2011-09-16T17:12:27:598
MOVE: (49,91) 2011-09-16T17:12:27:603
MOVE: (52,95) 2011-09-16T17:12:27:611
MOVE: (54,100) 2011-09-16T17:12:27:619
MOVE: (57,106) 2011-09-16T17:12:27:627
MOVE: (59,111) 2011-09-16T17:12:27:635
MOVE: (62,117) 2011-09-16T17:12:27:643
MOVE: (64,123) 2011-09-16T17:12:27:651
MOVE: (65,127) 2011-09-16T17:12:27:659
MOVE: (66,132) 2011-09-16T17:12:27:667
MOVE: (67,138) 2011-09-16T17:12:27:675
MOVE: (69,141) 2011-09-16T17:12:27:683
MOVE: (70,142) 2011-09-16T17:12:27:691
MOVE: (70,145) 2011-09-16T17:12:27:699
MOVE: (72,145) 2011-09-16T17:12:27:707
MOVE: (73,147) 2011-09-16T17:12:27:715
MOVE: (73,147) 2011-09-16T17:12:27:922
DOWN..........................................Down: (73,147) 2011-09-16T17:12:27:924
MOVE: (73,147) 2011-09-16T17:12:27:989
UP````````````````````````````````````````````````````Up: (73,147) 2011-09-16T17:12:27:993
locate::::::::::::::::::::::::::::::::::::::Locate: (0,0) 00:00:00.0690039
MOVE: (9,472) 2011-09-16T17:12:38:315
MOVE: (20,467) 2011-09-16T17:12:38:327
MOVE: (31,462) 2011-09-16T17:12:38:332
MOVE: (41,458) 2011-09-16T17:12:38:339
MOVE: (50,452) 2011-09-16T17:12:38:347
MOVE: (58,448) 2011-09-16T17:12:38:355
MOVE: (65,445) 2011-09-16T17:12:38:363
MOVE: (70,443) 2011-09-16T17:12:38:371
MOVE: (73,441) 2011-09-16T17:12:38:379
MOVE: (75,440) 2011-09-16T17:12:38:387
MOVE: (78,437) 2011-09-16T17:12:38:395
MOVE: (79,436) 2011-09-16T17:12:38:404
MOVE: (81,433) 2011-09-16T17:12:38:411
MOVE: (83,432) 2011-09-16T17:12:38:420
MOVE: (84,431) 2011-09-16T17:12:38:427
MOVE: (88,426) 2011-09-16T17:12:38:447
MOVE: (91,423) 2011-09-16T17:12:38:453
MOVE: (94,420) 2011-09-16T17:12:38:459
MOVE: (98,416) 2011-09-16T17:12:38:467
MOVE: (103,412) 2011-09-16T17:12:38:475
MOVE: (107,409) 2011-09-16T17:12:38:483
MOVE: (113,403) 2011-09-16T17:12:38:491
MOVE: (118,399) 2011-09-16T17:12:38:500
MOVE: (122,394) 2011-09-16T17:12:38:507
MOVE: (128,389) 2011-09-16T17:12:38:516
MOVE: (132,384) 2011-09-16T17:12:38:523
MOVE: (137,379) 2011-09-16T17:12:38:532
MOVE: (141,374) 2011-09-16T17:12:38:539
MOVE: (145,371) 2011-09-16T17:12:38:548
MOVE: (149,364) 2011-09-16T17:12:38:556
MOVE: (151,361) 2011-09-16T17:12:38:563
MOVE: (154,357) 2011-09-16T17:12:38:571
MOVE: (157,354) 2011-09-16T17:12:38:579
MOVE: (158,351) 2011-09-16T17:12:38:587
MOVE: (160,349) 2011-09-16T17:12:38:595
MOVE: (161,347) 2011-09-16T17:12:38:603
MOVE: (162,345) 2011-09-16T17:12:38:612
MOVE: (163,342) 2011-09-16T17:12:38:619
MOVE: (164,341) 2011-09-16T17:12:38:627
MOVE: (164,340) 2011-09-16T17:12:38:635
MOVE: (165,337) 2011-09-16T17:12:38:643
MOVE: (165,336) 2011-09-16T17:12:38:651
MOVE: (166,335) 2011-09-16T17:12:38:659
MOVE: (166,334) 2011-09-16T17:12:38:667
MOVE: (166,333) 2011-09-16T17:12:38:675
MOVE: (166,331) 2011-09-16T17:12:38:683
MOVE: (167,330) 2011-09-16T17:12:38:691
MOVE: (167,329) 2011-09-16T17:12:38:700
MOVE: (168,327) 2011-09-16T17:12:38:707
MOVE: (169,325) 2011-09-16T17:12:38:716
MOVE: (169,324) 2011-09-16T17:12:38:723
MOVE: (169,321) 2011-09-16T17:12:38:733
MOVE: (170,318) 2011-09-16T17:12:38:739
MOVE: (172,316) 2011-09-16T17:12:38:747
MOVE: (172,314) 2011-09-16T17:12:38:755
MOVE: (173,312) 2011-09-16T17:12:38:764
MOVE: (175,308) 2011-09-16T17:12:38:771
MOVE: (176,305) 2011-09-16T17:12:38:779
MOVE: (178,300) 2011-09-16T17:12:38:787
MOVE: (179,297) 2011-09-16T17:12:38:796
MOVE: (181,294) 2011-09-16T17:12:38:803
MOVE: (182,291) 2011-09-16T17:12:38:811
MOVE: (183,287) 2011-09-16T17:12:38:819
MOVE: (184,284) 2011-09-16T17:12:38:827
MOVE: (186,282) 2011-09-16T17:12:38:835
MOVE: (186,279) 2011-09-16T17:12:38:843
MOVE: (186,277) 2011-09-16T17:12:38:851
MOVE: (187,275) 2011-09-16T17:12:38:859
MOVE: (187,273) 2011-09-16T17:12:38:867
MOVE: (188,271) 2011-09-16T17:12:38:876
MOVE: (188,269) 2011-09-16T17:12:38:883
MOVE: (189,266) 2011-09-16T17:12:38:891
MOVE: (189,264) 2011-09-16T17:12:38:900
MOVE: (189,261) 2011-09-16T17:12:38:907
MOVE: (190,259) 2011-09-16T17:12:38:915
MOVE: (191,256) 2011-09-16T17:12:38:923
