用户编号：12
当前时间：2011-09-16T16:13:44:791
任务号:5,任务：学习
小组号:3,小组:第3组
视频名称:大头儿子小头爸爸
问题类型:Comprehension
*************************Tapestry***********************
ComprehensionStart:2011-09-16T16:15:53:566
ComprehensionDown:2011-09-16T16:17:49:457
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (412,364) 2011-09-16T16:13:51:734
MOVE: (413,364) 2011-09-16T16:13:51:749
MOVE: (413,365) 2011-09-16T16:13:51:837
MOVE: (415,366) 2011-09-16T16:13:51:845
MOVE: (417,368) 2011-09-16T16:13:51:853
MOVE: (419,370) 2011-09-16T16:13:51:862
MOVE: (420,370) 2011-09-16T16:13:51:869
MOVE: (421,371) 2011-09-16T16:13:51:878
MOVE: (423,371) 2011-09-16T16:13:52:701
MOVE: (426,374) 2011-09-16T16:13:52:709
MOVE: (429,376) 2011-09-16T16:13:52:717
MOVE: (434,378) 2011-09-16T16:13:52:725
MOVE: (440,379) 2011-09-16T16:13:52:733
MOVE: (447,382) 2011-09-16T16:13:52:741
MOVE: (455,383) 2011-09-16T16:13:52:750
MOVE: (461,384) 2011-09-16T16:13:52:757
MOVE: (473,384) 2011-09-16T16:13:52:785
MOVE: (475,383) 2011-09-16T16:13:52:790
MOVE: (475,382) 2011-09-16T16:13:52:798
MOVE: (475,381) 2011-09-16T16:13:53:317
MOVE: (475,380) 2011-09-16T16:13:53:358
MOVE: (474,379) 2011-09-16T16:13:53:422
MOVE: (474,378) 2011-09-16T16:13:53:438
MOVE: (474,379) 2011-09-16T16:13:53:493
MOVE: (475,379) 2011-09-16T16:13:53:502
MOVE: (475,380) 2011-09-16T16:13:53:757
MOVE: (474,380) 2011-09-16T16:13:54:53
MOVE: (473,381) 2011-09-16T16:13:54:62
MOVE: (472,381) 2011-09-16T16:13:54:69
MOVE: (471,382) 2011-09-16T16:13:54:77
MOVE: (471,384) 2011-09-16T16:13:58:853
MOVE: (471,389) 2011-09-16T16:13:58:861
MOVE: (467,397) 2011-09-16T16:13:58:869
MOVE: (462,407) 2011-09-16T16:13:58:877
MOVE: (450,421) 2011-09-16T16:13:58:885
MOVE: (434,439) 2011-09-16T16:13:58:893
MOVE: (406,468) 2011-09-16T16:13:58:901
MOVE: (365,511) 2011-09-16T16:13:58:909
MOVE: (316,563) 2011-09-16T16:13:58:917
MOVE: (271,614) 2011-09-16T16:13:58:925
MOVE: (232,659) 2011-09-16T16:13:58:933
MOVE: (156,749) 2011-09-16T16:13:58:962
MOVE: (137,768) 2011-09-16T16:13:58:979
MOVE: (132,773) 2011-09-16T16:13:58:981
MOVE: (130,774) 2011-09-16T16:13:58:990
MOVE: (128,774) 2011-09-16T16:13:59:70
MOVE: (124,773) 2011-09-16T16:13:59:77
MOVE: (120,772) 2011-09-16T16:13:59:85
MOVE: (115,769) 2011-09-16T16:13:59:93
MOVE: (108,767) 2011-09-16T16:13:59:101
MOVE: (101,764) 2011-09-16T16:13:59:109
MOVE: (93,761) 2011-09-16T16:13:59:117
MOVE: (86,758) 2011-09-16T16:13:59:125
MOVE: (78,757) 2011-09-16T16:13:59:133
MOVE: (72,755) 2011-09-16T16:13:59:141
MOVE: (66,753) 2011-09-16T16:13:59:149
MOVE: (62,753) 2011-09-16T16:13:59:157
MOVE: (57,751) 2011-09-16T16:13:59:165
MOVE: (55,749) 2011-09-16T16:13:59:173
MOVE: (51,747) 2011-09-16T16:13:59:181
MOVE: (48,742) 2011-09-16T16:13:59:189
MOVE: (44,735) 2011-09-16T16:13:59:197
MOVE: (41,725) 2011-09-16T16:13:59:205
MOVE: (35,715) 2011-09-16T16:13:59:213
MOVE: (32,706) 2011-09-16T16:13:59:221
MOVE: (28,699) 2011-09-16T16:13:59:229
MOVE: (26,691) 2011-09-16T16:13:59:237
MOVE: (24,685) 2011-09-16T16:13:59:245
MOVE: (22,681) 2011-09-16T16:13:59:253
MOVE: (22,677) 2011-09-16T16:13:59:261
MOVE: (21,675) 2011-09-16T16:13:59:269
MOVE: (21,674) 2011-09-16T16:13:59:277
MOVE: (21,673) 2011-09-16T16:13:59:301
MOVE: (22,673) 2011-09-16T16:13:59:341
MOVE: (23,672) 2011-09-16T16:13:59:349
MOVE: (24,672) 2011-09-16T16:13:59:373
MOVE: (25,672) 2011-09-16T16:13:59:389
MOVE: (26,672) 2011-09-16T16:13:59:397
MOVE: (27,672) 2011-09-16T16:13:59:413
MOVE: (29,672) 2011-09-16T16:13:59:421
MOVE: (30,672) 2011-09-16T16:13:59:429
