用户编号：12
当前时间：2011-09-16T16:25:45:650
任务号:2,任务：任务2
小组号:2,小组:第2组
视频名称:憨豆先生1
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T16:25:57:127
ComprehensionDown:2011-09-16T16:29:47:490
第0题的答案是：1,你选择的答案是：1
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：0,你选择的答案是：0
你的正确比例是4/4
MOVE: (284,282) 2011-09-16T16:25:54:423
MOVE: (281,283) 2011-09-16T16:25:55:911
MOVE: (277,283) 2011-09-16T16:25:55:918
MOVE: (272,284) 2011-09-16T16:25:55:926
MOVE: (265,289) 2011-09-16T16:25:55:934
MOVE: (254,292) 2011-09-16T16:25:55:942
MOVE: (225,302) 2011-09-16T16:25:55:961
MOVE: (203,306) 2011-09-16T16:25:55:966
MOVE: (173,313) 2011-09-16T16:25:55:974
MOVE: (137,322) 2011-09-16T16:25:55:982
MOVE: (107,330) 2011-09-16T16:25:55:990
MOVE: (87,331) 2011-09-16T16:25:55:998
MOVE: (72,333) 2011-09-16T16:25:56:6
MOVE: (61,334) 2011-09-16T16:25:56:14
MOVE: (52,335) 2011-09-16T16:25:56:22
MOVE: (49,335) 2011-09-16T16:25:56:30
MOVE: (48,335) 2011-09-16T16:25:56:38
MOVE: (47,334) 2011-09-16T16:25:56:46
MOVE: (46,334) 2011-09-16T16:25:56:119
MOVE: (46,333) 2011-09-16T16:25:56:127
MOVE: (45,333) 2011-09-16T16:25:56:135
MOVE: (43,333) 2011-09-16T16:25:56:143
MOVE: (39,333) 2011-09-16T16:25:56:152
MOVE: (34,333) 2011-09-16T16:25:56:160
MOVE: (29,333) 2011-09-16T16:25:56:168
MOVE: (22,333) 2011-09-16T16:25:56:175
MOVE: (12,333) 2011-09-16T16:25:56:183
MOVE: (4,333) 2011-09-16T16:25:56:191
MOVE: (86,267) 2011-09-16T16:26:02:863
MOVE: (143,222) 2011-09-16T16:26:02:884
MOVE: (174,201) 2011-09-16T16:26:02:890
MOVE: (201,182) 2011-09-16T16:26:02:897
MOVE: (227,161) 2011-09-16T16:26:02:903
MOVE: (245,148) 2011-09-16T16:26:02:911
MOVE: (258,139) 2011-09-16T16:26:02:919
MOVE: (266,131) 2011-09-16T16:26:02:927
MOVE: (270,128) 2011-09-16T16:26:02:935
MOVE: (273,125) 2011-09-16T16:26:02:943
MOVE: (274,122) 2011-09-16T16:26:02:951
MOVE: (274,120) 2011-09-16T16:26:02:960
MOVE: (274,116) 2011-09-16T16:26:02:967
MOVE: (274,111) 2011-09-16T16:26:02:976
MOVE: (275,107) 2011-09-16T16:26:02:983
MOVE: (277,101) 2011-09-16T16:26:02:992
MOVE: (279,96) 2011-09-16T16:26:02:999
MOVE: (282,92) 2011-09-16T16:26:03:7
MOVE: (284,88) 2011-09-16T16:26:03:15
MOVE: (287,84) 2011-09-16T16:26:03:23
MOVE: (289,83) 2011-09-16T16:26:03:31
MOVE: (291,82) 2011-09-16T16:26:03:39
MOVE: (292,82) 2011-09-16T16:26:03:47
MOVE: (293,82) 2011-09-16T16:26:03:71
MOVE: (294,82) 2011-09-16T16:26:03:95
MOVE: (297,83) 2011-09-16T16:26:03:103
MOVE: (299,84) 2011-09-16T16:26:03:111
MOVE: (302,84) 2011-09-16T16:26:03:119
MOVE: (304,86) 2011-09-16T16:26:03:127
MOVE: (305,86) 2011-09-16T16:26:03:135
MOVE: (306,88) 2011-09-16T16:26:03:143
MOVE: (306,89) 2011-09-16T16:26:03:215
MOVE: (308,90) 2011-09-16T16:26:03:223
MOVE: (310,90) 2011-09-16T16:26:03:231
MOVE: (313,91) 2011-09-16T16:26:03:239
MOVE: (317,91) 2011-09-16T16:26:03:247
MOVE: (323,92) 2011-09-16T16:26:03:256
MOVE: (333,92) 2011-09-16T16:26:03:263
MOVE: (341,93) 2011-09-16T16:26:03:272
MOVE: (349,94) 2011-09-16T16:26:03:279
MOVE: (356,95) 2011-09-16T16:26:03:288
MOVE: (361,96) 2011-09-16T16:26:03:295
MOVE: (363,97) 2011-09-16T16:26:03:303
MOVE: (364,97) 2011-09-16T16:26:03:311
MOVE: (365,97) 2011-09-16T16:26:03:487
MOVE: (366,97) 2011-09-16T16:26:03:648
MOVE: (369,98) 2011-09-16T16:26:03:655
MOVE: (372,100) 2011-09-16T16:26:03:663
MOVE: (375,101) 2011-09-16T16:26:03:671
MOVE: (376,102) 2011-09-16T16:26:03:687
MOVE: (378,104) 2011-09-16T16:26:03:839
MOVE: (382,108) 2011-09-16T16:26:03:847
